text,label
empty plastic water bottle,Recyclable
plastic milk jug,Recyclable
cardboard box,Recyclable
newspaper,Recyclable
glass beer bottle,Recyclable
aluminum soda can,Recyclable
steel food can,Recyclable
plastic detergent bottle,Recyclable
clear plastic packaging,Recyclable
glass wine bottle,Recyclable
cardboard cereal box,Recyclable
plastic shampoo bottle,Recyclable
glass jam jar,Recyclable
aluminum foil,Recyclable
plastic yogurt container,Recyclable
paper grocery bag,Recyclable
tin can,Recyclable
plastic juice bottle,Recyclable
glass pickle jar,Recyclable
cardboard toilet roll,Recyclable
plastic food container,Recyclable
magazines and catalogues,Recyclable
paper envelopes,Recyclable
plastic laundry bottle,Recyclable
glass sauce bottle,Recyclable
metal bottle cap,Recyclable
plastic vitamin bottle,Recyclable
cardboard egg carton,Recyclable
office paper,Recyclable
plastic wrap roll,Recyclable
glass olive jar,Recyclable
aluminum beverage can,Recyclable
plastic salad container,Recyclable
paper towel roll cardboard,Recyclable
metal soup can,Recyclable
clear glass bottle,Recyclable
plastic water gallon jug,Recyclable
brown paper bag,Recyclable
cardboard shipping box,Recyclable
plastic conditioner bottle,Recyclable
glass ketchup bottle,Recyclable
plastic straw,Recyclable
plastic cup lid,Recyclable
glass perfume bottle,Recyclable
paper coffee cup sleeve,Recyclable
cardboard pizza box clean,Recyclable
plastic storage bin,Recyclable
metal wire hanger,Recyclable
glass vase,Recyclable
aluminum pie tin,Recyclable
rinsed plastic tub,Recyclable
empty glass mustard jar,Recyclable
clean tin foil sheet,Recyclable
paper notebook,Recyclable
plastic bleach bottle,Recyclable
cardboard oatmeal container,Recyclable
glass salsa jar,Recyclable
plastic peanut butter jar,Recyclable
aluminum cat food can,Recyclable
clean plastic bag,Recyclable
paper mailer envelope,Recyclable
empty glass olive oil bottle,Recyclable
metal sardine can,Recyclable
plastic protein powder tub,Recyclable
cardboard tissue box,Recyclable
glass spice jar,Recyclable
plastic medicine bottle,Recyclable
aluminum coffee pod,Recyclable
cardboard cracker box,Recyclable
glass juice bottle,Recyclable
plastic tupperware lid,Recyclable
empty paper coffee bag,Recyclable
metal paint bucket clean,Recyclable
plastic lotion bottle,Recyclable
cardboard pasta box,Recyclable
glass water bottle,Recyclable
plastic ice cream container,Recyclable
newspaper stack,Recyclable
empty aluminum spray can,Recyclable
cardboard juice box,Recyclable
plastic hummus container,Recyclable
glass mineral water bottle,Recyclable
metal cookie tin,Recyclable
plastic zip lock bag clean,Recyclable
cardboard book mailer,Recyclable
glass drinking bottle,Recyclable
plastic dish soap bottle,Recyclable
cardboard cracker sleeve,Recyclable
empty glass honey jar,Recyclable
metal tuna can,Recyclable
plastic takeout container,Recyclable
aluminum gum wrapper,Recyclable
cardboard shoe box,Recyclable
glass baby food jar,Recyclable
plastic wrap box cardboard,Recyclable
steel bottle cap,Recyclable
plastic cream cheese container,Recyclable
cardboard paper roll core,Recyclable
glass cooking wine bottle,Recyclable
empty plastic salsa container,Recyclable
plastic snack bag clean,Recyclable
banana peel,Compost
apple core,Compost
coffee grounds,Compost
vegetable scraps,Compost
grass clippings,Compost
fallen leaves,Compost
eggshells,Compost
fruit rinds,Compost
tea bags,Compost
bread crusts,Compost
orange peel,Compost
wilted flowers,Compost
garden weeds,Compost
corn cobs,Compost
watermelon rind,Compost
cooked rice scraps,Compost
lettuce leaves,Compost
onion skins,Compost
carrot tops,Compost
melon scraps,Compost
strawberry tops,Compost
potato peels,Compost
cucumber peel,Compost
used paper napkins,Compost
dead houseplants,Compost
stale bread,Compost
avocado pits,Compost
mango seed,Compost
pineapple skin,Compost
hair and nail clippings,Compost
raw pasta scraps,Compost
expired herbs,Compost
nut shells,Compost
fruit pulp from juicing,Compost
coffee filter paper,Compost
wooden chopsticks,Compost
dried out flowers,Compost
vegetable peels,Compost
apple seeds,Compost
lemon peel,Compost
grapefruit rind,Compost
pear core,Compost
celery stalks,Compost
broccoli stems,Compost
spent grain from brewing,Compost
crushed eggshells,Compost
dried leaves mulch,Compost
rotten vegetables,Compost
expired flour,Compost
old cooking oil absorbed in paper,Compost
shredded paper for compost,Compost
wood shavings,Compost
spoiled fruit,Compost
used paper towel,Compost
kiwi skin,Compost
cherry pits,Compost
peach pit,Compost
plum seed,Compost
grape stems,Compost
melon seeds,Compost
rotten apple,Compost
tomato scraps,Compost
pepper seeds,Compost
spinach leaves wilted,Compost
cabbage outer leaves,Compost
beetroot tops,Compost
asparagus ends,Compost
mushroom stems,Compost
zucchini ends,Compost
herb stems dried,Compost
straw and hay scraps,Compost
dead plant soil mix,Compost
overripe banana,Compost
moldy bread,Compost
fish bones cooked,Compost
chicken bones cooked,Compost
cooked vegetable leftovers,Compost
expired dry beans,Compost
cardboard egg carton wet,Compost
rice husks,Compost
sunflower seed shells,Compost
pumpkin seeds,Compost
corn husks,Compost
coconut shell,Compost
watermelon seeds,Compost
used matches wooden,Compost
toothpicks wooden,Compost
paper bags wet soiled,Compost
bamboo skewer,Compost
oatmeal leftovers,Compost
expired oats,Compost
potato sprouts,Compost
garlic skins,Compost
leek tops,Compost
fennel fronds,Compost
radish tops,Compost
turnip peels,Compost
parsnip peels,Compost
used tea leaves,Compost
loose leaf tea waste,Compost
used batteries,Hazardous
broken fluorescent light tube,Hazardous
old paint can,Hazardous
paint thinner can,Hazardous
motor oil container,Hazardous
pesticide bottle,Hazardous
household bleach container,Hazardous
mercury thermometer,Hazardous
car battery,Hazardous
antifreeze container,Hazardous
nail polish remover bottle,Hazardous
weed killer bottle,Hazardous
rat poison container,Hazardous
old medications,Hazardous
expired prescription drugs,Hazardous
pool chlorine tablets,Hazardous
solvent container,Hazardous
brake fluid bottle,Hazardous
old fire extinguisher,Hazardous
spray paint can,Hazardous
aerosol insecticide,Hazardous
electronic waste circuit board,Hazardous
broken CRT monitor,Hazardous
old laptop battery,Hazardous
mobile phone battery,Hazardous
smoke detector,Hazardous
leaking acid battery,Hazardous
chemical cleaning agent,Hazardous
oven cleaner spray,Hazardous
drain unclogging chemical,Hazardous
asbestos ceiling tile,Hazardous
fuel canister,Hazardous
old propane tank,Hazardous
lighter fluid bottle,Hazardous
hospital sharps container,Hazardous
used hypodermic needle,Hazardous
glue solvent tube,Hazardous
typewriter correction fluid,Hazardous
old ink cartridge,Hazardous
insect repellent spray,Hazardous
contaminated rags with oil,Hazardous
